Domain,Predicted,Actual
8.72522,0.638087,0.643878
8.77522,0.599413,0.604833
8.82522,0.558637,0.564276
8.87522,0.516201,0.522309
8.92522,0.472589,0.479036
8.97522,0.428302,0.434566
9.02522,0.383834,0.389009
9.07522,0.339644,0.342481
9.12522,0.296143,0.295096
9.17522,0.253683,0.246974
9.22522,0.212548,0.198234
9.27522,0.172956,0.148999
9.32522,0.135067,0.0993915
9.37522,0.09898,0.0495356
